Rk,Age,Name, Pos, GP, G, A, P, PIM, +/-, PPG, SHG, GWG, G/GP, A/GP, P/GP,
559,20,Chris Wells,F,54,2,2,4,59,-6,0,1,0,0.037,0.037,0.074,
560,23,Mattias Norstrom,D,36,2,2,4,40,-3,0,0,0,0.056,0.056,0.111,
561,26,Daniel Lacroix,F,25,2,2,4,30,-1,0,0,0,0.080,0.080,0.160,
562,22,Mark Kolesar,F,21,2,2,4,14,0,0,0,0,0.095,0.095,0.190,
563,24,Milo? Holan,D,16,2,2,4,24,-12,0,0,0,0.125,0.125,0.250,
564,20,Jamie Langenbrunner,F,12,2,2,4,6,-2,1,0,0,0.167,0.167,0.333,
565,26,Corey Foster,D,11,2,2,4,2,-2,1,0,0,0.182,0.182,0.364,
566,27,Dixon Ward,F,8,2,2,4,6,1,0,0,1,0.250,0.250,0.500,
567,31,Frantisek Musil,D,65,1,3,4,85,-10,0,0,0,0.015,0.046,0.062,
568,25,Shawn Antoski,F,64,1,3,4,204,-4,0,0,0,0.016,0.047,0.063,
569,35,Randy Ladouceur,D,63,1,3,4,47,5,0,0,0,0.016,0.048,0.063,
570,29,Rudy Poeschek,D,57,1,3,4,88,-2,0,0,0,0.018,0.053,0.070,
571,31,Joey Kocur,F,45,1,3,4,68,-7,0,0,0,0.022,0.067,0.089,
572,24,Louie Debrusk,F,38,1,3,4,96,-7,0,0,0,0.026,0.079,0.105,
573,29,Doug Houda,D,38,1,3,4,52,3,0,0,0,0.026,0.079,0.105,
574,23,Steve Martins,F,23,1,3,4,8,-3,0,0,0,0.043,0.130,0.174,
575,22,Derek Armstrong,F,19,1,3,4,14,-6,0,0,0,0.053,0.158,0.211,
576,30,Nikolai Borschevsky,F,12,1,3,4,6,-7,0,0,1,0.083,0.250,0.333,
577,25,Gilbert Dionne,F,7,1,3,4,0,0,0,0,0,0.143,0.429,0.571,
578,23,Donald Brashear,F,67,0,4,4,223,-10,0,0,0,0.000,0.060,0.060,
579,28,Brian Glynn,D,54,0,4,4,44,-15,0,0,0,0.000,0.074,0.074,
580,26,Phil Von Stefenelli,D,27,0,4,4,16,2,0,0,0,0.000,0.148,0.148,
581,23,Marko Kiprusoff,D,24,0,4,4,8,-3,0,0,0,0.000,0.167,0.167,
582,26,Milan Tichy,D,8,0,4,4,8,3,0,0,0,0.000,0.500,0.500,
583,25,Denis Chasse,F,60,3,0,3,125,-14,1,0,1,0.050,0.000,0.050,
584,25,Russ Romaniuk,F,17,3,0,3,17,-2,1,0,0,0.176,0.000,0.176,
585,22,Jason Smith,D,64,2,1,3,86,5,0,0,0,0.031,0.016,0.047,
586,23,Yves Sarault,F,25,2,1,3,8,-9,0,0,1,0.080,0.040,0.120,
587,22,Kevin Smyth,F,21,2,1,3,8,-5,1,0,0,0.095,0.048,0.143,
588,21,Martin Gendron,F,20,2,1,3,8,-5,0,0,0,0.100,0.050,0.150,
589,26,Ricard Persson,D,12,2,1,3,8,5,1,0,0,0.167,0.083,0.250,
590,25,Scott Pellerin,F,6,2,1,3,0,1,0,0,0,0.333,0.167,0.500,
591,34,Craig Ludwig,D,65,1,2,3,70,-17,0,0,0,0.015,0.031,0.046,
592,32,Mike Lalor,D,63,1,2,3,31,-10,0,0,0,0.016,0.032,0.048,
593,26,Kevin Kaminski,F,54,1,2,3,164,-1,0,0,0,0.019,0.037,0.056,
594,23,Chris Osgood,G,50,1,2,3,4,,0,0,0,0.020,0.040,0.060,
595,29,Robert Dirk,D,47,1,2,3,48,8,0,0,0,0.021,0.043,0.064,
596,28,Pat Elynuik,F,29,1,2,3,16,2,0,0,0,0.034,0.069,0.103,
597,25,Janne Laukkanen,D,23,1,2,3,14,-1,1,0,0,0.043,0.087,0.130,
598,23,Rusty Fitzgerald,F,21,1,2,3,12,7,0,0,0,0.048,0.095,0.143,
599,28,Brad Dalgarno,F,18,1,2,3,14,-2,0,0,0,0.056,0.111,0.167,
600,20,Brett Lindros,F,18,1,2,3,47,-6,0,0,0,0.056,0.111,0.167,
601,22,Darren Van Impe,D,16,1,2,3,14,8,0,0,1,0.063,0.125,0.188,
602,22,Ralph Intranuovo,F,13,1,2,3,4,-3,0,0,1,0.077,0.154,0.231,
603,24,Jim Storm,F,10,1,2,3,17,-1,0,0,1,0.100,0.200,0.300,
604,24,Steve Larouche,F,8,1,2,3,4,0,1,0,0,0.125,0.250,0.375,
605,25,Adrien Plavsic,D,7,1,2,3,6,5,0,0,0,0.143,0.286,0.429,
606,26,Rob Blake,D,6,1,2,3,8,0,0,0,0,0.167,0.333,0.500,
607,26,Jim Montgomery,F,5,1,2,3,9,1,0,0,0,0.200,0.400,0.600,
608,29,Bill Ranford,G,77,0,3,3,2,,0,0,0,0.000,0.039,0.039,
609,36,Jay Wells,D,76,0,3,3,67,-8,0,0,0,0.000,0.039,0.039,
610,30,Trent Yawney,D,69,0,3,3,88,-1,0,0,0,0.000,0.043,0.043,
611,30,Tom Barrasso,G,49,0,3,3,18,,0,0,0,0.000,0.061,0.061,
612,19,Rhett Warrener,D,28,0,3,3,46,4,0,0,0,0.000,0.107,0.107,
613,27,Richard Pilon,D,27,0,3,3,72,-9,0,0,0,0.000,0.111,0.111,
614,20,Jason Allison,F,19,0,3,3,2,-3,0,0,0,0.000,0.158,0.158,
615,25,Brett Harkins,F,8,0,3,3,6,-2,0,0,0,0.000,0.375,0.375,
616,30,Uwe Krupp,D,6,0,3,3,4,4,0,0,0,0.000,0.500,0.500,
617,35,Tim Hunter,F,60,2,0,2,122,-8,0,0,1,0.033,0.000,0.033,
618,23,Scott Fraser,F,15,2,0,2,4,-1,0,0,0,0.133,0.000,0.133,
619,23,Yanick Dupre,F,12,2,0,2,8,0,0,0,1,0.167,0.000,0.167,
620,26,Steven King,F,7,2,0,2,15,-1,1,0,1,0.286,0.000,0.286,
621,22,Alek Stojanov,F,68,1,1,2,130,-13,0,0,0,0.015,0.015,0.029,
622,23,Ian Moran,D,51,1,1,2,47,-1,0,0,0,0.020,0.020,0.039,
623,27,Kevin Dahl,D,32,1,1,2,26,-2,0,0,1,0.031,0.031,0.063,
624,29,Mick Vukota,F,32,1,1,2,106,-3,0,0,0,0.031,0.031,0.063,
625,23,Jassen Cullimore,D,27,1,1,2,21,4,0,0,1,0.037,0.037,0.074,
626,33,Chris Dahlquist,D,24,1,1,2,14,-7,0,0,0,0.042,0.042,0.083,
627,34,Basil McRae,F,18,1,1,2,40,-5,0,0,0,0.056,0.056,0.111,
628,25,Phil Crowe,F,16,1,1,2,28,0,0,0,0,0.063,0.063,0.125,
629,18,Jason Doig,D,15,1,1,2,28,-2,0,0,0,0.067,0.067,0.133,
630,33,Phil Bourque,F,13,1,1,2,14,-3,0,0,0,0.077,0.077,0.154,
631,22,Greg de Vries,D,13,1,1,2,12,-2,0,0,0,0.077,0.077,0.154,
632,26,Iain Fraser,F,12,1,1,2,4,1,0,0,0,0.083,0.083,0.167,
633,22,Paul Brousseau,F,8,1,1,2,2,1,0,0,0,0.125,0.125,0.250,
634,20,Zdenek Nedved,F,7,1,1,2,6,-1,0,0,0,0.143,0.143,0.286,
635,22,Brad Smyth,F,7,1,1,2,4,-3,1,0,0,0.143,0.143,0.286,
636,22,Robert Petrovicky,F,5,1,1,2,0,1,1,0,1,0.200,0.200,0.400,
637,26,Jean-Yves Roy,F,4,1,1,2,2,3,0,0,0,0.250,0.250,0.500,
638,32,John Vanbiesbrouck,G,57,0,2,2,10,,0,0,0,0.000,0.035,0.035,
639,30,Ed Belfour,G,50,0,2,2,36,,0,0,0,0.000,0.040,0.040,
640,23,Trevor Kidd,G,47,0,2,2,4,,0,0,0,0.000,0.043,0.043,
641,26,Damian Rhodes,G,47,0,2,2,4,,0,0,0,0.000,0.043,0.043,
642,29,Kirk McLean,G,45,0,2,2,6,,0,0,0,0.000,0.044,0.044,
643,26,Rick Tabaracci,G,43,0,2,2,8,,0,0,0,0.000,0.047,0.047,
644,20,Rory Fitzpatrick,D,42,0,2,2,18,-7,0,0,0,0.000,0.048,0.048,
645,34,Don Beaupre,G,41,0,2,2,31,,0,0,0,0.000,0.049,0.049,
646,23,Corey Hirsch,G,41,0,2,2,2,,0,0,0,0.000,0.049,0.049,
647,25,Dean Malkoc,D,41,0,2,2,136,-10,0,0,0,0.000,0.049,0.049,
648,31,Ken Wregget,G,37,0,2,2,8,,0,0,0,0.000,0.054,0.054,
649,23,Ed Patterson,F,35,0,2,2,38,-5,0,0,0,0.000,0.057,0.057,
650,30,Mikhail Shtalenkov,G,30,0,2,2,2,,0,0,0,0.000,0.067,0.067,
651,25,Scott Levins,F,27,0,2,2,80,-3,0,0,0,0.000,0.074,0.074,
652,19,Jason Bonsignore,F,20,0,2,2,4,-6,0,0,0,0.000,0.100,0.100,
653,23,Aris Brimanis,D,17,0,2,2,12,-1,0,0,0,0.000,0.118,0.118,
654,23,Craig Darby,F,10,0,2,2,0,-1,0,0,0,0.000,0.200,0.200,
655,19,David Nemirovsky,F,9,0,2,2,2,-1,0,0,0,0.000,0.222,0.222,
656,19,Craig Mills,F,4,0,2,2,0,0,0,0,0,0.000,0.500,0.500,
657,22,Tyler Wright,F,23,1,0,1,33,-7,0,0,0,0.043,0.000,0.043,
658,36,Alexei Kasatonov,D,19,1,0,1,12,1,0,0,0,0.053,0.000,0.053,
659,25,Craig Ferguson,F,18,1,0,1,6,-9,0,0,0,0.056,0.000,0.056,
660,27,Troy Crowder,F,15,1,0,1,42,-3,0,0,0,0.067,0.000,0.067,
661,28,Danton Cole,F,12,1,0,1,0,0,0,0,0,0.083,0.000,0.083,
662,27,Jimmy Carson,F,11,1,0,1,0,1,0,0,0,0.091,0.000,0.091,
663,24,Dan Kordic,F,9,1,0,1,31,1,0,0,0,0.111,0.000,0.111,
664,21,Kevin Brown,F,7,1,0,1,4,-2,0,0,0,0.143,0.000,0.143,
665,25,Vyacheslav Butsayev,F,7,1,0,1,0,-4,0,0,0,0.143,0.000,0.143,
666,20,Landon Wilson,F,7,1,0,1,6,3,0,0,0,0.143,0.000,0.143,
667,20,Ladislav Kohn,F,5,1,0,1,2,-1,0,0,0,0.200,0.000,0.200,
668,20,Larry Courville,F,3,1,0,1,0,1,0,0,1,0.333,0.000,0.333,
669,26,Steve Poapst,D,3,1,0,1,0,-1,0,0,1,0.333,0.000,0.333,
670,22,Chris Ferraro,F,2,1,0,1,0,-3,1,0,0,0.500,0.000,0.500,
671,33,Grant Fuhr,G,79,0,1,1,8,,0,0,0,0.000,0.013,0.013,
672,23,Martin Brodeur,G,77,0,1,1,6,,0,0,0,0.000,0.013,0.013,
673,21,Jim Carey,G,71,0,1,1,6,,0,0,0,0.000,0.014,0.014,
674,30,Dominik Ha?ek,G,59,0,1,1,6,,0,0,0,0.000,0.017,0.017,
675,30,Daren Puppa,G,57,0,1,1,4,,0,0,0,0.000,0.018,0.018,
676,30,Stu Grimson,F,56,0,1,1,128,-10,0,0,0,0.000,0.018,0.018,
677,31,Ron Hextall,G,53,0,1,1,28,,0,0,0,0.000,0.019,0.019,
678,33,Glenn Healy,G,44,0,1,1,8,,0,0,0,0.000,0.023,0.023,
679,29,Mike Richter,G,41,0,1,1,4,,0,0,0,0.000,0.024,0.024,
680,25,Stephane Fiset,G,37,0,1,1,2,,0,0,0,0.000,0.027,0.027,
681,27,Jeff Hackett,G,35,0,1,1,8,,0,0,0,0.000,0.029,0.029,
682,28,Curtis Joseph,G,34,0,1,1,4,,0,0,0,0.000,0.029,0.029,
683,24,Bob Boughner,D,31,0,1,1,104,3,0,0,0,0.000,0.032,0.032,
684,25,Stewart Malgunas,D,30,0,1,1,32,-10,0,0,0,0.000,0.033,0.033,
685,27,Rob Zettler,D,29,0,1,1,48,-1,0,0,0,0.000,0.034,0.034,
686,20,Eric Fichaud,G,24,0,1,1,0,,0,0,0,0.000,0.042,0.042,
687,28,Pat Jablonski,G,24,0,1,1,2,,0,0,0,0.000,0.042,0.042,
688,24,Jason Marshall,D,24,0,1,1,42,3,0,0,0,0.000,0.042,0.042,
689,25,Eric Charron,D,18,0,1,1,22,-3,0,0,0,0.000,0.056,0.056,
690,28,Dallas Eakins,D,18,0,1,1,34,-1,0,0,0,0.000,0.056,0.056,
691,30,Paul Broten,F,17,0,1,1,4,-1,0,0,0,0.000,0.059,0.059,
692,33,Greg Gilbert,F,17,0,1,1,8,-1,0,0,0,0.000,0.059,0.059,
693,21,Jarrett Deuling,F,14,0,1,1,11,-1,0,0,0,0.000,0.071,0.071,
694,21,Drew Bannister,D,13,0,1,1,4,-1,0,0,0,0.000,0.077,0.077,
695,30,Bob Bassen,F,13,0,1,1,15,-6,0,0,0,0.000,0.077,0.077,
696,31,Bob Kudelski,F,13,0,1,1,0,1,0,0,0,0.000,0.077,0.077,
697,23,Mark Lawrence,F,13,0,1,1,17,0,0,0,0,0.000,0.077,0.077,
698,26,Micah Aivazoff,F,12,0,1,1,6,-6,0,0,0,0.000,0.083,0.083,
699,23,Chris Taylor,F,11,0,1,1,2,1,0,0,0,0.000,0.091,0.091,
700,24,Brent Thompson,D,10,0,1,1,21,-2,0,0,0,0.000,0.100,0.100,
701,20,Ethan Moreau,F,8,0,1,1,4,1,0,0,0,0.000,0.125,0.125,
702,23,Sean Pronger,F,7,0,1,1,6,0,0,0,0,0.000,0.143,0.143,
703,22,Peter Ferraro,F,5,0,1,1,0,-5,0,0,0,0.000,0.200,0.200,
704,22,Jamie Pushor,D,5,0,1,1,17,2,0,0,0,0.000,0.200,0.200,
705,19,Daymond Langkow,F,4,0,1,1,0,-1,0,0,0,0.000,0.250,0.250,
706,20,Anders Myrvold,D,4,0,1,1,6,-2,0,0,0,0.000,0.250,0.250,
707,25,Barry Richter,D,4,0,1,1,0,2,0,0,0,0.000,0.250,0.250,
708,22,Lonny Bohonos,F,3,0,1,1,0,1,0,0,0,0.000,0.333,0.333,
709,22,Andreas Johansson,F,3,0,1,1,0,1,0,0,0,0.000,0.333,0.333,
710,25,Dwayne Norris,F,3,0,1,1,2,0,0,0,0,0.000,0.333,0.333,
711,21,Jeremy Stevenson,F,3,0,1,1,12,1,0,0,0,0.000,0.333,0.333,
712,30,Arto Blomsten,D,2,0,1,1,0,1,0,0,0,0.000,0.500,0.500,
713,22,Francois Groleau,D,2,0,1,1,2,2,0,0,0,0.000,0.500,0.500,
714,19,Josef Marha,F,2,0,1,1,0,1,0,0,0,0.000,0.500,0.500,
715,22,Kelly Fairchild,F,1,0,1,1,2,1,0,0,0,0.000,1.000,1.000,
716,25,Jason Herter,D,1,0,1,1,0,1,0,0,0,0.000,1.000,1.000,
717,18,Jay McKee,D,1,0,1,1,2,1,0,0,0,0.000,1.000,1.000,
718,20,Steve Washburn,F,1,0,1,1,0,1,0,0,0,0.000,1.000,1.000,
719,24,Felix Potvin,G,69,0,0,0,4,,0,0,0,0.000,0.000,0.000,
720,30,Patrick Roy,G,61,0,0,0,10,,0,0,0,0.000,0.000,0.000,
721,28,Guy Hebert,G,59,0,0,0,6,,0,0,0,0.000,0.000,0.000,
722,22,Nikolai Khabibulin,G,53,0,0,0,12,,0,0,0,0.000,0.000,0.000,
723,26,Tommy Soderstrom,G,51,0,0,0,7,,0,0,0,0.000,0.000,0.000,
724,20,Jocelyn Thibault,G,50,0,0,0,2,,0,0,0,0.000,0.000,0.000,
725,24,Byron Dafoe,G,47,0,0,0,6,,0,0,0,0.000,0.000,0.000,
726,35,Andy Moog,G,41,0,0,0,28,,0,0,0,0.000,0.000,0.000,
727,29,Darcy Wakaluk,G,37,0,0,0,6,,0,0,0,0.000,0.000,0.000,
728,34,Kelly Hrudey,G,36,0,0,0,4,,0,0,0,0.000,0.000,0.000,
729,27,Mark Fitzpatrick,G,34,0,0,0,12,,0,0,0,0.000,0.000,0.000,
730,32,Mike Vernon,G,32,0,0,0,2,,0,0,0,0.000,0.000,0.000,
731,27,Tim Cheveldae,G,30,0,0,0,0,,0,0,0,0.000,0.000,0.000,
732,29,Craig Billington,G,27,0,0,0,2,,0,0,0,0.000,0.000,0.000,
733,28,Marc Potvin,F,27,0,0,0,12,-2,0,0,0,0.000,0.000,0.000,
734,29,Jeff Reese,G,26,0,0,0,0,,0,0,0,0.000,0.000,0.000,
735,26,Garth Snow,G,26,0,0,0,18,,0,0,0,0.000,0.000,0.000,
736,27,Wade Flaherty,G,24,0,0,0,0,,0,0,0,0.000,0.000,0.000,
737,28,Arturs Irbe,G,22,0,0,0,4,,0,0,0,0.000,0.000,0.000,
738,25,Jason Muzzatti,G,22,0,0,0,33,,0,0,0,0.000,0.000,0.000,
739,26,Andrei Trefilov,G,22,0,0,0,4,,0,0,0,0.000,0.000,0.000,
740,24,Chris Lipuma,D,21,0,0,0,13,-7,0,0,0,0.000,0.000,0.000,
741,24,Mike Bales,G,20,0,0,0,2,,0,0,0,0.000,0.000,0.000,
742,25,Olaf Kolzig,G,18,0,0,0,2,,0,0,0,0.000,0.000,0.000,
743,27,Ed Ronan,F,17,0,0,0,16,-3,0,0,0,0.000,0.000,0.000,
744,22,Joaquin Gage,G,16,0,0,0,4,,0,0,0,0.000,0.000,0.000,
745,25,Dominic Roussel,G,16,0,0,0,2,,0,0,0,0.000,0.000,0.000,
746,25,John Gruden,D,14,0,0,0,4,-3,0,0,0,0.000,0.000,0.000,
747,27,Dan Keczmer,D,13,0,0,0,14,-6,0,0,0,0.000,0.000,0.000,
748,24,Matt Martin,D,13,0,0,0,14,-1,0,0,0,0.000,0.000,0.000,
749,24,Jamie McLennan,G,13,0,0,0,2,,0,0,0,0.000,0.000,0.000,
750,27,Jean-Claude Bergeron,G,12,0,0,0,0,,0,0,0,0.000,0.000,0.000,
751,25,Blaine Lacher,G,12,0,0,0,4,,0,0,0,0.000,0.000,0.000,
752,22,Steve Staios,F,12,0,0,0,4,-5,0,0,0,0.000,0.000,0.000,
753,23,Scott Bailey,G,11,0,0,0,0,,0,0,0,0.000,0.000,0.000,
754,22,Cale Hulse,D,11,0,0,0,20,1,0,0,0,0.000,0.000,0.000,
755,29,Bruce Racine,G,11,0,0,0,2,,0,0,0,0.000,0.000,0.000,
756,31,Allan Bester,G,10,0,0,0,2,,0,0,0,0.000,0.000,0.000,
757,24,Tommy Salo,G,10,0,0,0,0,,0,0,0,0.000,0.000,0.000,
758,25,Corey Schwab,G,10,0,0,0,31,,0,0,0,0.000,0.000,0.000,
759,33,Jon Casey,G,9,0,0,0,0,,0,0,0,0.000,0.000,0.000,
760,21,Mike Prokopec,F,9,0,0,0,5,-4,0,0,0,0.000,0.000,0.000,
761,26,Brad Werenka,D,9,0,0,0,8,-2,0,0,0,0.000,0.000,0.000,
762,25,Peter Allen,D,8,0,0,0,8,2,0,0,0,0.000,0.000,0.000,
763,22,Dennis Bonvie,F,8,0,0,0,47,-3,0,0,0,0.000,0.000,0.000,
764,30,Paul Cavallini,D,8,0,0,0,6,-3,0,0,0,0.000,0.000,0.000,
765,29,Bob Halkidis,D,8,0,0,0,37,-4,0,0,0,0.000,0.000,0.000,
766,31,Oleg Mikulchik,D,8,0,0,0,4,-2,0,0,0,0.000,0.000,0.000,
767,21,Kevin Sawyer,F,8,0,0,0,28,-1,0,0,0,0.000,0.000,0.000,
768,21,Ken Belanger,F,7,0,0,0,27,-2,0,0,0,0.000,0.000,0.000,
769,23,Fred Brathwaite,G,7,0,0,0,2,,0,0,0,0.000,0.000,0.000,
770,24,Craig Conroy,F,7,0,0,0,2,-4,0,0,0,0.000,0.000,0.000,
771,23,Ivan Droppa,D,7,0,0,0,2,2,0,0,0,0.000,0.000,0.000,
772,20,Marek Malik,D,7,0,0,0,4,-3,0,0,0,0.000,0.000,0.000,
773,25,Davis Payne,F,7,0,0,0,7,0,0,0,0,0.000,0.000,0.000,
774,32,Joe Cirella,D,6,0,0,0,4,-3,0,0,0,0.000,0.000,0.000,
775,23,Mark Cornforth,D,6,0,0,0,4,4,0,0,0,0.000,0.000,0.000,
776,30,Grant Jennings,D,6,0,0,0,28,1,0,0,0,0.000,0.000,0.000,
777,26,Daniel Laperriere,D,6,0,0,0,4,2,0,0,0,0.000,0.000,0.000,
778,28,Mike MacWilliam,F,6,0,0,0,14,-1,0,0,0,0.000,0.000,0.000,
779,22,Todd Simpson,D,6,0,0,0,32,0,0,0,0,0.000,0.000,0.000,
780,24,Cameron Stewart,F,6,0,0,0,0,-2,0,0,0,0.000,0.000,0.000,
781,26,Len Barrie,F,5,0,0,0,18,-1,0,0,0,0.000,0.000,0.000,
782,29,John Blue,G,5,0,0,0,0,,0,0,0,0.000,0.000,0.000,
783,22,Allan Egeland,F,5,0,0,0,2,0,0,0,0,0.000,0.000,0.000,
784,21,Manny Fernandez,G,5,0,0,0,0,,0,0,0,0.000,0.000,0.000,
785,24,Jamie Heward,D,5,0,0,0,0,-1,0,0,0,0.000,0.000,0.000,
786,24,Aaron Miller,D,5,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
787,22,Bryan Muir,D,5,0,0,0,6,-4,0,0,0,0.000,0.000,0.000,
788,26,Darren Rumble,D,5,0,0,0,4,0,0,0,0,0.000,0.000,0.000,
789,20,Jamie Storr,G,5,0,0,0,0,,0,0,0,0.000,0.000,0.000,
790,21,Patrick Traverse,D,5,0,0,0,2,-1,0,0,0,0.000,0.000,0.000,
791,24,Vesa Viitakoski,F,5,0,0,0,2,-1,0,0,0,0.000,0.000,0.000,
792,20,Sebastien Bordeleau,F,4,0,0,0,0,-1,0,0,0,0.000,0.000,0.000,
793,21,Joel Bouchard,D,4,0,0,0,4,0,0,0,0,0.000,0.000,0.000,
794,19,Curtis Brown,F,4,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
795,25,Dan Bylsma,F,4,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
796,23,Ravil Gusmanov,F,4,0,0,0,0,-3,0,0,0,0.000,0.000,0.000,
797,25,Todd Hlushko,F,4,0,0,0,6,0,0,0,0,0.000,0.000,0.000,
798,23,Kevin Hodson,G,4,0,0,0,0,,0,0,0,0.000,0.000,0.000,
799,31,Don McSween,D,4,0,0,0,4,0,0,0,0,0.000,0.000,0.000,
800,23,Grigorijs Pantelejevs,F,4,0,0,0,0,-3,0,0,0,0.000,0.000,0.000,
801,26,Geoff Sarjeant,G,4,0,0,0,2,,0,0,0,0.000,0.000,0.000,
802,22,Jason Widmer,D,4,0,0,0,7,0,0,0,0,0.000,0.000,0.000,
803,21,Derek Wilkinson,G,4,0,0,0,2,,0,0,0,0.000,0.000,0.000,
804,18,Martin Biron,G,3,0,0,0,0,,0,0,0,0.000,0.000,0.000,
805,27,Mike Casselman,F,3,0,0,0,0,-1,0,0,0,0.000,0.000,0.000,
806,25,Jeff Christian,F,3,0,0,0,2,0,0,0,0,0.000,0.000,0.000,
807,25,Alexander Godynyuk,D,3,0,0,0,2,-1,0,0,0,0.000,0.000,0.000,
808,23,Ryan Hughes,F,3,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
809,24,Dan Kesa,F,3,0,0,0,0,-1,0,0,0,0.000,0.000,0.000,
810,27,Daniel Marois,F,3,0,0,0,2,0,0,0,0,0.000,0.000,0.000,
811,21,Jason McBain,D,3,0,0,0,0,-1,0,0,0,0.000,0.000,0.000,
812,20,Barrie Moore,F,3,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
813,20,Jamie Rivers,D,3,0,0,0,2,-1,0,0,0,0.000,0.000,0.000,
814,20,Andre Roy,F,3,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
815,20,Darcy Tucker,F,3,0,0,0,0,-1,0,0,0,0.000,0.000,0.000,
816,26,Greg Andrusak,D,2,0,0,0,0,-1,0,0,0,0.000,0.000,0.000,
817,20,Ruslan Batyrshin,D,2,0,0,0,6,0,0,0,0,0.000,0.000,0.000,
818,20,Stefan Bergkvist,D,2,0,0,0,2,0,0,0,0,0.000,0.000,0.000,
819,22,Jason Bowen,D,2,0,0,0,2,0,0,0,0,0.000,0.000,0.000,
820,24,Zac Boyer,F,2,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
821,20,Patrick Cote,F,2,0,0,0,5,-2,0,0,0,0.000,0.000,0.000,
822,24,Patrick Labrecque,G,2,0,0,0,2,,0,0,0,0.000,0.000,0.000,
823,26,Pat MaCleod,D,2,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
824,21,Scott Nichol,F,2,0,0,0,10,0,0,0,0,0.000,0.000,0.000,
825,19,Wayne Primeau,F,2,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
826,23,Steve Shields,G,2,0,0,0,2,,0,0,0,0.000,0.000,0.000,
827,21,Nick Stajduhar,D,2,0,0,0,4,2,0,0,0,0.000,0.000,0.000,
828,22,Niklas Sundblad,F,2,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
829,25,Wes Walz,F,2,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
830,19,Nolan Baumgartner,D,1,0,0,0,0,-1,0,0,0,0.000,0.000,0.000,
831,28,Sergei Bautin,D,1,0,0,0,2,-1,0,0,0,0.000,0.000,0.000,
832,23,Drake Berehowsky,D,1,0,0,0,0,1,0,0,0,0.000,0.000,0.000,
833,29,Tom Draper,G,1,0,0,0,0,,0,0,0,0.000,0.000,0.000,
834,19,Patrik Elia?,F,1,0,0,0,0,-1,0,0,0,0.000,0.000,0.000,
835,20,Anders Eriksson,D,1,0,0,0,2,1,0,0,0,0.000,0.000,0.000,
836,19,Sean Haggerty,F,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
837,24,David Harlock,D,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
838,20,Matt Johnson,F,1,0,0,0,5,0,0,0,0,0.000,0.000,0.000,
839,26,Fred Knipscheer,F,1,0,0,0,2,0,0,0,0,0.000,0.000,0.000,
840,31,Mark Lamb,F,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
841,20,Scott Langkow,G,1,0,0,0,0,,0,0,0,0.000,0.000,0.000,
842,23,John Lilley,F,1,0,0,0,0,-1,0,0,0,0.000,0.000,0.000,
843,28,Rob Murray,F,1,0,0,0,2,-1,0,0,0,0.000,0.000,0.000,
844,24,Jamie Ram,G,1,0,0,0,0,,0,0,0,0.000,0.000,0.000,
845,25,Travis Richards,D,1,0,0,0,2,-1,0,0,0,0.000,0.000,0.000,
846,24,Jarrod Skalde,F,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
847,20,Jason Strudwick,D,1,0,0,0,7,0,0,0,0,0.000,0.000,0.000,
848,22,Robbie Tallas,G,1,0,0,0,0,,0,0,0,0.000,0.000,0.000,
849,19,Jose Theodore,G,1,0,0,0,0,,0,0,0,0.000,0.000,0.000,
850,21,Jeff Toms,F,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
851,19,Vaclav Varad'a,F,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
852,20,Alexander Vasilevski,F,1,0,0,0,0,-1,0,0,0,0.000,0.000,0.000,
853,26,Jim Waite,G,1,0,0,0,0,,0,0,0,0.000,0.000,0.000,
854,20,Jordan Willis,G,1,0,0,0,0,,0,0,0,0.000,0.000,0.000,
855,19,Richard Zednik,F,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,
